x,y,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114
255,0.2222,83.372,70.833,82.624,86.162,87.018,79.783,59.313,76.685,76.437,80.957,71.313,76.468,45.9,71.053,87.4,80.655,26.666,39.233,86.033,43.764,58.118,86.106,87.816,65.635,83.454,67.001,46.59,86.11,73.762,86.955,67.696,54.617,78.897,71.353,84.774,83.959,80.615,82.285,85.189,81.82,81.793,80.037,78.197,78.771,67.798,82.911,67.43,57.553,82.717,80.204,75.392,84.207,83.646,81.429,77.307,88.147,85.871,85.121,83.66,85.254,84.67,86.2,85.286,81.932,85.959,82.06,77.263,76.872,79.001,77.505,80.074,79.864,81.036,81.335,42.32,80.622,75.2,71.25,77.072,83.525,82.024,84.9,82.014,81.263,82.971,79.522,86.244,86.783,79.575,83.388,83.494,84.189,86.046,86.415,61.212,54.02,39.9,83.155,86.463,83.562,82.415,85.56,63.59,60.299,42.352,65.811,87.059,69.885,33.06,56.279,68.666,73.445,72.488,37.064
255,1.6717,89.565,59.411,92.342,101.31,102.17,79.521,57.333,68.667,94.802,96.673,65.128,77.833,47.035,62.569,101.24,86.748,26.997,34.437,100.42,45.516,50.528,101.38,103.56,64.089,93.758,60.917,51.868,101.12,81.291,97.824,70.394,56.633,94.68,87.337,97.791,96.464,95.609,93.151,98.242,92.69,94.938,81.973,97.053,83.145,80.132,95.088,77.666,69.204,89.256,92.841,83.948,99.08,101.09,94.985,94.913,103,100.06,100.26,102.1,103.5,101.57,99.458,101.72,98.832,100.09,100.49,92.185,95.451,94.17,96.455,97.119,78.932,98.016,95.748,44.964,90.947,84.883,82.202,87.987,96.957,98.75,99.19,98.28,93.175,98.715,85.453,101.01,101.05,84.152,95.029,96.092,98.531,101.26,101.52,60.336,47.062,45.478,94.486,101.82,98.171,95.847,101.18,62.596,54.908,50.031,48.223,101.86,62.976,31.885,55.981,65.673,68.383,70.736,38.335
255,2.438,84.64,51.241,94.591,110.99,111.7,76.553,51.268,52.88,103.71,107.95,59.834,77.913,37.918,53.934,111.3,84.49,18.569,24.092,110.43,38.567,41.332,111.27,112.62,56.601,95.854,50.743,42.878,110.53,69.035,104.45,64.346,48.332,103.33,90.357,106.35,103.23,102.2,95.935,108.21,95.669,100.18,82.169,104.58,85.096,82.714,103.42,80.875,67.198,120,96.963,87.066,108.89,109.78,100.54,101.06,111.4,108.81,108.03,108.14,111.66,110.15,107.54,110.94,104.47,109.93,109.22,98.534,100.87,101.28,103.41,103.31,70.693,105.66,100.52,92.057,94.416,87.357,84.976,90.67,104.06,105.6,108.45,105.1,97.177,105.21,87.33,109.14,110.77,89.05,101.42,101.93,106.24,110.5,110.92,52.414,41.72,38.317,97.04,112.34,104.96,102.84,111.19,55.281,56.88,44.904,36.637,111.86,51.431,24.002,49.197,61.448,55.924,59.687,33.868
255,2.595,67.139,47.759,83.951,107.4,107.66,66.108,45.723,41.673,98.793,104.72,57.229,69.368,37.172,49.5,108.05,68.262,18.886,25.361,107.81,38.931,37.008,108.1,110.02,51.158,82.889,48.581,39.79,107.79,58.638,95.387,56.547,43.057,100.86,83.468,103.39,101.71,98.489,88.068,105.44,89.124,92.312,78.755,98.994,83.133,78.909,100.42,78.99,61.055,88.844,93.907,84.547,106.63,106.67,97.391,99.945,107.68,106.53,105.13,104.87,107.77,106.01,104.47,108.38,100.78,106.94,105.67,95.348,96.45,97.772,98.358,101.14,63.251,102.93,92.673,101.01,89.731,83.779,82.669,37.258,102.23,102.67,104.52,99.274,93.051,99.544,83.543,105.87,107.69,85.149,100.74,95.568,102.01,107.53,108.15,47.068,38.058,36.551,80.627,109.43,97.906,97.199,108.07,50.82,56.022,42.872,36.911,108.14,45.53,23.913,48.47,56.462,51.882,36.421,32.148
255,3.3659,61.158,46.475,73.326,107.1,108.42,57.174,41.31,40.096,99.44,104.89,55.973,68.187,37.26,43.536,108.93,63.741,17.738,20.914,108.32,37.59,34.379,108.26,109.49,49.637,70.593,45.304,38.855,108.69,51.444,83.531,50.111,42.699,99.459,81.24,104.2,101.07,100.19,82.614,106.13,88.207,89.898,78.404,99.825,81.795,78.306,99.592,79.79,58.337,87.92,91.131,81.901,106.41,107.69,94.182,101.46,109.04,106.72,106.41,105.4,109.38,107.32,105.28,109.59,102.05,108,106.95,94.694,97.613,95.544,99.175,101.31,66.282,102.71,90.172,103.07,89.367,83.072,83.11,86.507,103.62,101.83,105.01,94.126,92.956,97.41,81.806,107.17,108.66,82.13,100.24,93.444,101.33,107.83,108.2,47.024,36.328,38.388,73.66,110.22,91.632,95.239,107.99,48.969,50.915,41.817,38.907,109.07,45.651,115.49,46.949,54.782,51.111,37.355,29.775
255,4.179,64.791,46.555,70.081,105.36,105.05,57.632,44.212,46.959,98.481,102.63,56.117,69.142,38.925,48.117,107.68,70.007,20.09,25.468,107,37.597,34.464,106.66,107.62,48.244,53.894,45.508,38.842,107.03,53.95,73.498,62.268,41.584,97.337,78.507,102.35,95.494,96.449,78.579,103.86,86.37,88.994,80.263,99.553,82.293,77.321,96.19,82.44,60.245,85,88.766,79.764,105.7,104.82,91.228,98.928,106.8,105.46,102.98,102.91,107.26,106.08,102.49,106.89,98.816,105.64,104.52,89.213,95.09,90.249,97.889,100.09,68.814,98.775,81.319,100.91,87.908,83.458,82.943,98.825,102.02,99.082,105.15,92.37,91.397,95.219,82.905,105.15,107.64,82.122,97.494,89.14,97.517,106.48,106.41,48.016,41.13,40.063,71.632,108.24,80.282,89.072,106.73,47.439,51.043,42.742,40.341,107.55,48.143,24.353,48.681,54.586,60.654,38.913,33.046
255,4.9076,66.247,48.241,72.973,112.72,113.17,59.615,45.712,46.175,103.16,109.08,54.551,72.667,41.288,48.87,113.99,74.324,19.21,22.209,113.38,39.082,34.145,113.78,115.44,49.959,52.238,49.595,44.569,113.92,53.112,70.79,60.652,44.944,99.561,81.681,108.42,99.263,103.05,72.57,111.09,90.639,93.022,84.576,108.3,85.484,80.067,98.225,85.682,63.195,88.55,92.049,84.302,112.06,110.9,93.61,101.94,113.95,112.21,110.35,111.81,114.52,111.74,109.18,113.67,104.93,112.63,110.31,91.117,100.9,93.708,104.15,107.85,69.192,104.26,82.487,107.87,91.384,89.187,85.969,87.128,107.14,103.05,109.09,96.659,94.315,98.857,84.466,112.48,112.59,86.093,99.793,91.844,99.052,112.94,113.16,52.027,42.152,45.982,73.825,114.9,72.564,88.995,113.26,49.724,55.173,48.473,44.754,113.79,53.363,26.031,54.593,60.497,63.427,46.09,40.604
255,5.5498,59.995,35.989,67.102,114.02,113.98,51.829,37.716,38.75,105.99,111.86,50.92,67.215,36.81,43.454,115.16,74.365,19.23,22.283,114.88,38.405,33.044,113.97,116.23,43.231,43.874,44.741,31.677,115.01,47.162,65.914,54.657,34.954,95.712,77.777,110.1,97.74,107.41,68.682,111.19,86.615,90.098,81.559,107.92,83.263,76.103,93.91,84.793,59.881,91.182,92.534,82.786,112.29,113.02,89.834,99.567,114,112.54,111.35,112.07,115.08,113.78,110.4,115.06,107.28,113.66,112.18,89.875,102.51,93.376,105.65,110.83,65.631,104.82,88.732,109.61,93.1,89.175,84.54,85.209,111.32,101.67,111.25,94.628,95.746,100.16,80.929,112.96,114.46,88.988,100.1,89.186,95.844,113.44,113.43,49.556,38.7,38.668,70.96,115.36,61.909,84.216,113.98,43.723,44.758,43.081,40.985,114.66,47.15,24.935,50.285,54.243,56.313,38.494,33.903
255,6.199,62.828,50.658,74.762,112.14,111.76,58.17,47.044,48.335,108.66,113.31,56.041,80.076,43.676,51.407,116.06,72.488,21.064,24.874,116.08,44.334,32.877,115.81,117.47,50.383,51.981,51.036,46.473,116.42,57.313,62.141,59.505,49.469,94.66,75.75,111.53,98.795,106.61,73.352,113.11,87.909,89.701,83.219,110.14,85.12,79.575,96.685,87.597,59.119,89.845,92.285,82.682,114.24,115.42,91.743,95.205,115.3,114.12,112.91,113.47,117.41,116.21,110.67,116.71,108.17,115.48,114.33,90.808,104.43,92.556,108.87,108.95,76.897,102.85,89.231,109.15,93.224,86.649,84.972,87.257,111.85,97.346,114.54,93.56,96.875,99.442,87.291,115.31,116.15,89.122,98.072,94.27,94.838,115.38,115.59,55.359,48.153,50.695,69.02,116.34,58.916,82.559,115.86,49.091,56.296,53.739,48.683,116.25,51.789,73.965,54.636,60.253,64.105,50.544,45.181
255,7.2971,62.121,53.99,73.155,101.37,101.32,58.165,46.779,49.112,102.83,108.81,48.322,82.564,42.597,48.217,112.46,64.308,73.136,25.831,112.31,39.695,33.585,112.47,114.45,51.448,47.223,48.447,42.197,112.69,56.479,54.779,50.831,45.367,88.268,70.322,106.99,95.229,104.91,66.46,110.08,84.153,82.943,80.581,106.47,84.214,74.504,93.852,83.303,57.914,85.204,84.58,82.122,111.47,111.75,88.608,89.739,112.17,110.87,110.07,109.67,114.06,112.11,106.69,113.38,104.59,111.94,110.83,84.248,100.61,84.908,103.75,105.71,77.575,96.291,84.27,105.4,88.545,85.37,80.705,84.167,107.37,94.161,109.75,90.933,93.501,96.163,81.987,111.6,113.21,86.32,92.802,95.058,90.577,112.23,112.49,48.047,46.662,47.436,63.427,114.11,49.451,66.831,113.31,42.977,56.411,50.252,48.76,112.95,49.204,74.698,53.691,53.342,62.109,49.433,40.641
